query_label,max_peak,mean_peak,min_peak,predictions_count,ground_truth_count,true_positives,false_positives,false_negatives,precision,recall,f1,path,parent_name,grandparent_name,grandparent_path,English,Flipped,samples_per_gloss,windowsize_ms,step_ms,cbt,prominence,heightmult,gloss_label_count
TROUBLE,,,,0,4,0,0,4,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/TROUBLE/all_scores_TROUBLE_peaks_eval_stats_filtered.csv,TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
TOTAL,,,,0,4,0,0,4,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/TROUBLE/all_scores_TROUBLE_peaks_eval_stats_filtered.csv,TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
ISRAEL,,,,0,27,0,0,27,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/ISRAEL/all_scores_ISRAEL_peaks_eval_stats_filtered.csv,ISRAEL,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
TOTAL,,,,0,27,0,0,27,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/ISRAEL/all_scores_ISRAEL_peaks_eval_stats_filtered.csv,ISRAEL,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
FAMILY,74.57191721598308,74.57191721598308,74.57191721598308,1,14,1,0,13,1.0,0.0714,0.1333,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/FAMILY/all_scores_FAMILY_peaks_eval_stats_filtered.csv,FAMILY,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
TOTAL,74.57191721598308,74.57191721598308,74.57191721598308,1,14,1,0,13,1.0,0.0714,0.1333,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/FAMILY/all_scores_FAMILY_peaks_eval_stats_filtered.csv,FAMILY,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
ENEMY,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/ENEMY/all_scores_ENEMY_peaks_eval_stats_filtered.csv,ENEMY,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
TOTAL,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/ENEMY/all_scores_ENEMY_peaks_eval_stats_filtered.csv,ENEMY,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
BAR,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
BRING,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
BURN,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
COME,,,,0,20,0,0,20,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
ENEMY,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
FAMILY,,,,0,14,0,0,14,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
HIDE,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
ISRAEL,,,,0,27,0,0,27,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
MAN,,,,0,11,0,0,11,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
PEOPLE,,,,0,19,0,0,19,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
SELECT,,,,0,1,0,0,1,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
SILVER,,,,0,6,0,0,6,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
SON,,,,0,4,0,0,4,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
TENT,,,,0,5,0,0,5,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
TROUBLE,,,,0,4,0,0,4,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
TOTAL,,,,0,121,0,0,121,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE/all_scores_BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE_peaks_eval_stats_filtered.csv,BAR_BRING_BURN_COME_ENEMY_FAMILY_HIDE_ISRAEL_MAN_PEOPLE_SELECT_SILVER_SON_TENT_TROUBLE,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,15
BRING,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BRING/all_scores_BRING_peaks_eval_stats_filtered.csv,BRING,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
TOTAL,,,,0,2,0,0,2,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/BRING/all_scores_BRING_peaks_eval_stats_filtered.csv,BRING,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
MAN,,,,0,11,0,0,11,0.0,0.0,0.0,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2/MAN/all_scores_MAN_peaks_eval_stats_filtered.csv,MAN,prominence_1.0_heightmult_1.2,results/asl_finetune_checkpoint_best/samplespergloss_0/start_0_end_None/windowsize500_step100/ase_chronological_bible_translation_in_american_sign_language_119_introductions_and_passages_cbt-033-ase-2-passage _ israel fails to conquer ai.pose-mediapipe/seg_idx9999/peaks/prominence_1.0_heightmult_1.2,True,False,0,500,100,33,1.0,1.2,1
